win_id,file,i0,i1,t0,t1,fs,y_defect,y_type,severity,confidence,notes,rpm,Z,dmm,Dmm,theta
current_1.csv:145920:151040,current_1.csv,145920,151040,28.5,29.5,5120,0,normal,0.415883320246206,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:153600:158720,current_1.csv,153600,158720,30.0,31.0,5120,0,normal,0.4338096933076311,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:273920:279040,current_1.csv,273920,279040,53.5,54.5,5120,0,normal,0.5310502804938236,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:204800:209920,current_1.csv,204800,209920,40.0,41.0,5120,0,normal,0.4117140286940587,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:289280:294400,current_1.csv,289280,294400,56.5,57.5,5120,0,normal,0.2961509398145971,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:209920:215040,current_1.csv,209920,215040,41.0,42.0,5120,0,normal,0.4177547402677068,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:179200:184320,current_1.csv,179200,184320,35.0,36.0,5120,0,normal,1.0144412006925685,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:151040:156160,current_1.csv,151040,156160,29.5,30.5,5120,0,normal,0.9710490985267608,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:302080:307200,current_1.csv,302080,307200,59.0,60.0,5120,0,normal,0.4223460232634067,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:184320:189440,current_1.csv,184320,189440,36.0,37.0,5120,0,normal,0.6366704168539848,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:235520:240640,current_1.csv,235520,240640,46.0,47.0,5120,0,normal,1.1727315367035778,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:266240:271360,current_1.csv,266240,271360,52.0,53.0,5120,0,normal,0.171866315717958,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:240640:245760,current_1.csv,240640,245760,47.0,48.0,5120,0,normal,0.6175743911771326,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:238080:243200,current_1.csv,238080,243200,46.5,47.5,5120,0,normal,0.4636185230132348,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_1.csv:125440:130560,current_1.csv,125440,130560,24.5,25.5,5120,0,normal,0.7944079300428877,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:348160:353280,current_10.csv,348160,353280,68.0,69.0,5120,0,normal,0.4658238448742479,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:330240:335360,current_10.csv,330240,335360,64.5,65.5,5120,0,normal,0.8310484089158754,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:197120:202240,current_10.csv,197120,202240,38.5,39.5,5120,0,normal,0.5107683647153409,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:179200:184320,current_10.csv,179200,184320,35.0,36.0,5120,0,normal,0.5824698551253645,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:151040:156160,current_10.csv,151040,156160,29.5,30.5,5120,0,normal,0.2577908756007429,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:376320:381440,current_10.csv,376320,381440,73.5,74.5,5120,0,normal,2.236116565970722,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:35840:40960,current_10.csv,35840,40960,7.0,8.0,5120,0,normal,1.695012448633234,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:286720:291840,current_10.csv,286720,291840,56.0,57.0,5120,0,normal,0.8250150948506833,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:181760:186880,current_10.csv,181760,186880,35.5,36.5,5120,0,normal,0.3326564432411207,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:552960:558080,current_10.csv,552960,558080,108.0,109.0,5120,0,normal,0.6059808259509676,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:148480:153600,current_10.csv,148480,153600,29.0,30.0,5120,0,normal,0.9936485443971784,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:273920:279040,current_10.csv,273920,279040,53.5,54.5,5120,0,normal,0.2364676561224722,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:343040:348160,current_10.csv,343040,348160,67.0,68.0,5120,0,normal,0.5614782735156124,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:314880:320000,current_10.csv,314880,320000,61.5,62.5,5120,0,normal,0.2484366945247373,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_10.csv:217600:222720,current_10.csv,217600,222720,42.5,43.5,5120,0,normal,1.9003493572636805,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:56320:61440,current_11.csv,56320,61440,11.0,12.0,5120,0,normal,1.0734561586385902,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:138240:143360,current_11.csv,138240,143360,27.0,28.0,5120,0,normal,0.3971319680996745,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:71680:76800,current_11.csv,71680,76800,14.0,15.0,5120,0,normal,1.5462904397705173,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:133120:138240,current_11.csv,133120,138240,26.0,27.0,5120,0,normal,0.2324129775626961,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:20480:25600,current_11.csv,20480,25600,4.0,5.0,5120,0,normal,0.5087167650349119,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:51200:56320,current_11.csv,51200,56320,10.0,11.0,5120,0,normal,0.4186963908600956,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:46080:51200,current_11.csv,46080,51200,9.0,10.0,5120,0,normal,0.1939770475109352,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:40960:46080,current_11.csv,40960,46080,8.0,9.0,5120,0,normal,0.2725481846844715,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:15360:20480,current_11.csv,15360,20480,3.0,4.0,5120,0,normal,0.1479792291202637,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:28160:33280,current_11.csv,28160,33280,5.5,6.5,5120,0,normal,0.233935007339206,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:30720:35840,current_11.csv,30720,35840,6.0,7.0,5120,0,normal,0.8317164997711325,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:104960:110080,current_11.csv,104960,110080,20.5,21.5,5120,0,normal,0.3984506010714161,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:117760:122880,current_11.csv,117760,122880,23.0,24.0,5120,0,normal,0.0861017287596782,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:69120:74240,current_11.csv,69120,74240,13.5,14.5,5120,0,normal,0.2224984343879597,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_11.csv:64000:69120,current_11.csv,64000,69120,12.5,13.5,5120,0,normal,0.13101093569499,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_12.csv:179200:184320,current_12.csv,179200,184320,35.0,36.0,5120,0,normal,0.3762172278905403,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_12.csv:558080:563200,current_12.csv,558080,563200,109.0,110.0,5120,0,normal,0.5820263687848561,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_12.csv:184320:189440,current_12.csv,184320,189440,36.0,37.0,5120,0,normal,0.4592950885867126,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_12.csv:476160:481280,current_12.csv,476160,481280,93.0,94.0,5120,0,normal,1.0197939295109557,0.5,auto-normal,1770.0,9,7.94,38.5,0
current_12.csv:156160:161280,current_12.csv,156160,161280,30.5,31.5,5120,0,normal,0.5591864109933494,0.5,auto-normal,1770.0,9,7.94,38.5,0
