win_id,file,i0,i1,fs,t0,t1,y_defect,y_type,severity,confidence,notes,rpm,Z,dmm,Dmm,theta,mains_hz
current_1.csv:102400:112640,current_1.csv,102400,112640,5120,20.0,22.0,1,BPFO,17.269207000732422,0.3,auto-BPFO snr=0.30 e_rel=0.0001,1770.0,9,7.94,38.5,0,50.0
current_1.csv:281600:291840,current_1.csv,281600,291840,5120,55.0,57.0,1,BPFO,19.849836349487305,0.3,auto-BPFO snr=0.26 e_rel=0.0003,1770.0,9,7.94,38.5,0,50.0
current_1.csv:240640:250880,current_1.csv,240640,250880,5120,47.0,49.0,1,BPFO,14.355751037597656,0.3,auto-BPFO snr=0.26 e_rel=0.0002,1770.0,9,7.94,38.5,0,50.0
current_1.csv:296960:307200,current_1.csv,296960,307200,5120,58.0,60.0,1,BPFO,21.250232696533203,0.3,auto-BPFO snr=0.26 e_rel=0.0000,1770.0,9,7.94,38.5,0,50.0
current_1.csv:51200:61440,current_1.csv,51200,61440,5120,10.0,12.0,1,BPFI,26.79894256591797,0.3,auto-BPFI snr=0.32 e_rel=0.0000,1770.0,9,7.94,38.5,0,50.0
current_1.csv:153600:163840,current_1.csv,153600,163840,5120,30.0,32.0,1,BPFI,36.059024810791016,0.3,auto-BPFI snr=0.26 e_rel=0.0000,1770.0,9,7.94,38.5,0,50.0
current_1.csv:122880:133120,current_1.csv,122880,133120,5120,24.0,26.0,1,BPFI,19.35716438293457,0.3,auto-BPFI snr=0.19 e_rel=0.0000,1770.0,9,7.94,38.5,0,50.0
current_1.csv:184320:194560,current_1.csv,184320,194560,5120,36.0,38.0,1,BPFI,28.334232330322266,0.3,auto-BPFI snr=0.19 e_rel=0.0000,1770.0,9,7.94,38.5,0,50.0
current_1.csv:174080:184320,current_1.csv,174080,184320,5120,34.0,36.0,1,BPFI,14.288368225097656,0.3,auto-BPFI snr=0.18 e_rel=0.0000,1770.0,9,7.94,38.5,0,50.0
current_1.csv:128000:138240,current_1.csv,128000,138240,5120,25.0,27.0,1,BPFI,13.791033744812012,0.3,auto-BPFI snr=0.18 e_rel=0.0000,1770.0,9,7.94,38.5,0,50.0
current_1.csv:133120:143360,current_1.csv,133120,143360,5120,26.0,28.0,1,BSF,25.45494270324707,0.3,auto-BSF snr=0.69 e_rel=0.0009,1770.0,9,7.94,38.5,0,50.0
current_1.csv:71680:81920,current_1.csv,71680,81920,5120,14.0,16.0,1,BSF,19.096519470214844,0.3,auto-BSF snr=0.48 e_rel=0.0002,1770.0,9,7.94,38.5,0,50.0
current_1.csv:179200:189440,current_1.csv,179200,189440,5120,35.0,37.0,1,BSF,11.625012397766113,0.3,auto-BSF snr=0.45 e_rel=0.0006,1770.0,9,7.94,38.5,0,50.0
current_1.csv:87040:97280,current_1.csv,87040,97280,5120,17.0,19.0,1,BSF,19.202329635620117,0.3,auto-BSF snr=0.43 e_rel=0.0005,1770.0,9,7.94,38.5,0,50.0
current_1.csv:81920:92160,current_1.csv,81920,92160,5120,16.0,18.0,1,BSF,15.480072021484375,0.3,auto-BSF snr=0.41 e_rel=0.0006,1770.0,9,7.94,38.5,0,50.0
current_1.csv:112640:122880,current_1.csv,112640,122880,5120,22.0,24.0,1,BSF,20.714893341064453,0.3,auto-BSF snr=0.40 e_rel=0.0004,1770.0,9,7.94,38.5,0,50.0
